No,Costo Mensual,Año,Mes
1,"2.172,60",2011,Enero
2,"2.187,30",2011,Febrero
3,"2.224,80",2011,Marzo
4,"2.252,70",2011,Abril
5,"2.262,00",2011,Mayo
6,"2.307,60",2011,Junio
7,"2.376,00",2011,Julio
8,"2.403,30",2011,Agosto
9,"2.383,50",2011,Septiembre
10,"2.397,30",2011,Octubre
11,"2.415,60",2011,Noviembre
12,"2.440,20",2011,Diciembre
13,"2.449,80",2012,Enero
14,"2.494,20",2012,Febrero
15,"2.501,10",2012,Marzo
16,"2.513,10",2012,Abril
17,"2.522,10",2012,Mayo
18,"2.534,10",2012,Junio
19,"2.558,40",2012,Julio
20,"2.565,90",2012,Agosto
21,"2.585,10",2012,Septiembre
22,"2.596,80",2012,Octubre
23,"2.609,10",2012,Noviembre
24,"2.617,80",2012,Diciembre
25,"2.639,40",2013,Enero
26,"2.692,50",2013,Febrero
27,"2.723,70",2013,Marzo
28,"2.730,90",2013,Abril
29,"2.772,00",2013,Mayo
30,"2.829,00",2013,Junio
31,"2.829,30",2013,Julio
32,"2.821,20",2013,Agosto
33,"2.838,00",2013,Septiembre
34,"2.841,30",2013,Octubre
35,"2.896,50",2013,Noviembre
36,"2.900,10",2013,Diciembre
37,"2.922,30",2014,Enero
38,"2.929,50",2014,Febrero
39,"2.945,10",2014,Marzo
40,"2.966,40",2014,Abril
41,"2.982,00",2014,Mayo
42,"3.012,30",2014,Junio
43,"3.039,00",2014,Julio
44,"3.084,60",2014,Agosto
45,"3.123,60",2014,Septiembre
46,"3.193,50",2014,Octubre
47,"3.218,10",2014,Noviembre
48,"3.236,70",2014,Diciembre
49,"3.247,20",2015,Enero
50,"3.281,70",2015,Febrero
51,"3.282,30",2015,Marzo
52,"3.315,00",2015,Abril
53,"3.358,50",2015,Mayo
54,"3.405,60",2015,Junio
55,"3.422,70",2015,Julio
56,"3.420,90",2015,Agosto
57,"3.436,80",2015,Septiembre
58,"3.507,60",2015,Octubre
59,"3.540,60",2015,Noviembre
60,"3.589,80",2015,Diciembre
61,"3.662,00",2016,Enero
62,"3.671,71",2016,Febrero
63,"3.668,43",2016,Marzo
64,"3.697,41",2016,Abril
65,"3.736,80",2016,Mayo
66,"3.773,40",2016,Junio
67,"3.833,10",2016,Julio
68,"3.848,55",2016,Agosto
69,"3.826,24",2016,Septiembre
70,"3.905,64",2016,Octubre
71,"3.938,03",2016,Noviembre
72,"3.958,80",2016,Diciembre
73,"4.079,40",2017,Enero
74,"4.098,60",2017,Febrero
75,"4.123,45",2017,Marzo
76,"4.138,26",2017,Abril
77,"4.170,65",2017,Mayo
78,"4.351,35",2017,Junio
79,"4.454,10",2017,Julio
80,"4.311,90",2017,Agosto
81,"4.211,37",2017,Septiembre
